PPL/XP,Analytical Code#long,#img,Image Width (mm),Fabric Code,Petrographic Fabric,#name,Site,Latitude#number,Longitude#number,Artifact Number#long,Decoration/Ware,Period,Fe ppm (INAA)#number,Na ppm (INAA)#number,Ca ppm (INAA)#number,Sm ppm (INAA)#number,Lu ppm (INAA)#number,U ppm (INAA)#number,Yb ppm (INAA)#number,As ppm (INAA)#number,Sb ppm (INAA)#number,La ppm (INAA)#number,Ce ppm (INAA)#number,Th ppm (INAA)#number,Cr ppm (INAA)#number,Hf ppm (INAA)#number,Cs ppm (INAA)#number,Sc ppm (INAA)#number,Rb ppm (INAA)#number,Ta ppm (INAA)#number,Co ppm (INAA)#number,Eu ppm (INAA)#number,Tb ppm (INAA)#number
PPL,CYC001,PPL_CYL_001_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
XP,CYC001,XPL_CYL_001_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
PPL,CYC001,PPL_CYL_001_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
XP,CYC001,XPL_CYL_001_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 1,Red Monochrome,Middle Neolithic,4.34,0.19,18.04,3.75,0.30,2.7,2.32,150.5,2.5,16.9,55.5,7.32,106,2.71,12.10,19.1,90,0.5,38.07,0.86,0.4
PPL,CYC002,PPL_CYL_002_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
XP,CYC002,XPL_CYL_002_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
PPL,CYC002,PPL_CYL_002_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
XP,CYC002,XPL_CYL_002_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 2,Red Monochrome,Middle Neolithic,4.01,0.29,16.78,6.33,0.44,2.2,3.57,30.9,1.5,28.7,46.4,7.22,97.5,3.04,6.10,16.2,70,0.6,15.12,1.39,0.9
PPL,CYC003,PPL_CYL_003_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
XP,CYC003,XPL_CYL_003_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
PPL,CYC003,PPL_CYL_003_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
XP,CYC003,XPL_CYL_003_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 3,Red Monochrome,Middle Neolithic,3.76,0.16,18.46,6.13,0.43,1.9,3.23,108.8,2.3,33.0,35.6,6.02,115,2.62,10.00,14.3,80,0.4,14.27,1.47,0.9
PPL,CYC004,PPL_CYL_004_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
XP,CYC004,XPL_CYL_004_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
PPL,CYC004,PPL_CYL_004_021_,2.1,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
XP,CYC004,XPL_CYL_004_021_,2.1,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 4,Red Matt Painted,Middle Neolithic,3.46,0.37,11.82,6.51,0.46,3.0,3.59,24.5,1.4,33.8,66.7,12.60,168,4.42,8.42,21.5,80,1.0,19.21,1.38,1.0
PPL,CYC005,PPL_CYL_005_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 5,Red Matt Painted,Middle Neolithic,3.29,0.18,13.58,5.16,0.35,2.5,2.81,7.8,0.9,25.6,51.5,9.20,164,3.28,7.99,17.9,90,0.7,20.39,1.10,0.6
XP,CYC005,XPL_CYL_005_097_,9.7,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 5,Red Matt Painted,Middle Neolithic,3.29,0.18,13.58,5.16,0.35,2.5,2.81,7.8,0.9,25.6,51.5,9.20,164,3.28,7.99,17.9,90,0.7,20.39,1.10,0.6
PPL,CYC005,PPL_CYL_005_021_,2.1,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 5,Red Matt Painted,Middle Neolithic,3.29,0.18,13.58,5.16,0.35,2.5,2.81,7.8,0.9,25.6,51.5,9.20,164,3.28,7.99,17.9,90,0.7,20.39,1.10,0.6
XP,CYC005,XPL_CYL_005_021_,2.1,Cyclops Cave 6,Calcareous Grog Fabric ,Calcareous Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 5,Red Matt Painted,Middle Neolithic,3.29,0.18,13.58,5.16,0.35,2.5,2.81,7.8,0.9,25.6,51.5,9.20,164,3.28,7.99,17.9,90,0.7,20.39,1.10,0.6
PPL,CYC006,PPL_CYL_006_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 6,Coarseware,Middle Neolithic,5.53,0.46,9.21,6.62,0.37,2.3,3.35,47.0,1.4,38.8,85.1,15.80,158,5.99,9.36,18.8,130,1.5,21.70,1.47,1.1
XP,CYC006,XPL_CYL_006_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 6,Coarseware,Middle Neolithic,5.53,0.46,9.21,6.62,0.37,2.3,3.35,47.0,1.4,38.8,85.1,15.80,158,5.99,9.36,18.8,130,1.5,21.70,1.47,1.1
PPL,CYC006,PPL_CYL_006_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 6,Coarseware,Middle Neolithic,5.53,0.46,9.21,6.62,0.37,2.3,3.35,47.0,1.4,38.8,85.1,15.80,158,5.99,9.36,18.8,130,1.5,21.70,1.47,1.1
XP,CYC006,XPL_CYL_006_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 6,Coarseware,Middle Neolithic,5.53,0.46,9.21,6.62,0.37,2.3,3.35,47.0,1.4,38.8,85.1,15.80,158,5.99,9.36,18.8,130,1.5,21.70,1.47,1.1
PPL,CYC007,PPL_CYL_007_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 7,Coarseware,Middle Neolithic,4.34,0.37,10.12,4.57,0.41,2.0,3.18,26.1,1.1,16.0,47.6,5.60,94.6,3.18,7.32,18.2,70,1.0,16.54,1.08,0.7
XP,CYC007,XPL_CYL_007_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 7,Coarseware,Middle Neolithic,4.34,0.37,10.12,4.57,0.41,2.0,3.18,26.1,1.1,16.0,47.6,5.60,94.6,3.18,7.32,18.2,70,1.0,16.54,1.08,0.7
PPL,CYC007,PPL_CYL_007_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 7,Coarseware,Middle Neolithic,4.34,0.37,10.12,4.57,0.41,2.0,3.18,26.1,1.1,16.0,47.6,5.60,94.6,3.18,7.32,18.2,70,1.0,16.54,1.08,0.7
XP,CYC007,XPL_CYL_007_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 7,Coarseware,Middle Neolithic,4.34,0.37,10.12,4.57,0.41,2.0,3.18,26.1,1.1,16.0,47.6,5.60,94.6,3.18,7.32,18.2,70,1.0,16.54,1.08,0.7
PPL,CYC008,PPL_CYL_008_097_,9.7,Cyclops Cave 5,Grog Fabric ,Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 8,Coarseware,Middle Neolithic,6.36,0.63,0.88,8.54,0.57,4.3,4.39,28.9,1.9,51.9,112.2,20.00,246,8.82,10.00,21.3,140,1.9,28.27,1.66,1.0
XP,CYC008,XPL_CYL_008_097_,9.7,Cyclops Cave 5,Grog Fabric ,Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 8,Coarseware,Middle Neolithic,6.36,0.63,0.88,8.54,0.57,4.3,4.39,28.9,1.9,51.9,112.2,20.00,246,8.82,10.00,21.3,140,1.9,28.27,1.66,1.0
PPL,CYC008,PPL_CYL_008_021_,2.1,Cyclops Cave 5,Grog Fabric ,Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 8,Coarseware,Middle Neolithic,6.36,0.63,0.88,8.54,0.57,4.3,4.39,28.9,1.9,51.9,112.2,20.00,246,8.82,10.00,21.3,140,1.9,28.27,1.66,1.0
XP,CYC008,XPL_CYL_008_021_,2.1,Cyclops Cave 5,Grog Fabric ,Grog Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 8,Coarseware,Middle Neolithic,6.36,0.63,0.88,8.54,0.57,4.3,4.39,28.9,1.9,51.9,112.2,20.00,246,8.82,10.00,21.3,140,1.9,28.27,1.66,1.0
PPL,CYC009,PPL_CYL_009_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 9,Burnished,Middle Neolithic,4.87,0.31,14.96,4.96,0.40,2.4,2.82,135.2,2.7,19.6,38.4,8.20,108,2.85,13.20,18.4,90,0.6,27.15,1.13,0.7
XP,CYC009,XPL_CYL_009_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 9,Burnished,Middle Neolithic,4.87,0.31,14.96,4.96,0.40,2.4,2.82,135.2,2.7,19.6,38.4,8.20,108,2.85,13.20,18.4,90,0.6,27.15,1.13,0.7
PPL,CYC009,PPL_CYL_009_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 9,Burnished,Middle Neolithic,4.87,0.31,14.96,4.96,0.40,2.4,2.82,135.2,2.7,19.6,38.4,8.20,108,2.85,13.20,18.4,90,0.6,27.15,1.13,0.7
XP,CYC009,XPL_CYL_009_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 9,Burnished,Middle Neolithic,4.87,0.31,14.96,4.96,0.40,2.4,2.82,135.2,2.7,19.6,38.4,8.20,108,2.85,13.20,18.4,90,0.6,27.15,1.13,0.7
PPL,CYC010,PPL_CYL_010_097_,9.7,Cyclops Cave 2,Phyllite Fabric ,Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 10,Burnished,Middle Neolithic,5.06,0.59,0.20,9.71,0.41,2.4,3.47,3.9,0.8,55.3,126.8,16.90,206,6.56,11.30,18.0,170,1.2,22.38,1.93,1.1
XP,CYC010,XPL_CYL_010_097_,9.7,Cyclops Cave 2,Phyllite Fabric ,Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 10,Burnished,Middle Neolithic,5.06,0.59,0.20,9.71,0.41,2.4,3.47,3.9,0.8,55.3,126.8,16.90,206,6.56,11.30,18.0,170,1.2,22.38,1.93,1.1
PPL,CYC010,PPL_CYL_010_021_,2.1,Cyclops Cave 2,Phyllite Fabric ,Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 10,Burnished,Middle Neolithic,5.06,0.59,0.20,9.71,0.41,2.4,3.47,3.9,0.8,55.3,126.8,16.90,206,6.56,11.30,18.0,170,1.2,22.38,1.93,1.1
XP,CYC010,XPL_CYL_010_021_,2.1,Cyclops Cave 2,Phyllite Fabric ,Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 10,Burnished,Middle Neolithic,5.06,0.59,0.20,9.71,0.41,2.4,3.47,3.9,0.8,55.3,126.8,16.90,206,6.56,11.30,18.0,170,1.2,22.38,1.93,1.1
PPL,CYC011,PPL_CYL_011_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 11,Coarseware,Middle Neolithic,4.40,0.31,16.48,5.39,0.35,4.0,2.68,38.5,1.4,29.2,58.5,11.50,135,3.86,7.49,16.0,100,1.0,25.08,1.01,0.6
XP,CYC011,XPL_CYL_011_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 11,Coarseware,Middle Neolithic,4.40,0.31,16.48,5.39,0.35,4.0,2.68,38.5,1.4,29.2,58.5,11.50,135,3.86,7.49,16.0,100,1.0,25.08,1.01,0.6
PPL,CYC011,PPL_CYL_011_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 11,Coarseware,Middle Neolithic,4.40,0.31,16.48,5.39,0.35,4.0,2.68,38.5,1.4,29.2,58.5,11.50,135,3.86,7.49,16.0,100,1.0,25.08,1.01,0.6
XP,CYC011,XPL_CYL_011_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 11,Coarseware,Middle Neolithic,4.40,0.31,16.48,5.39,0.35,4.0,2.68,38.5,1.4,29.2,58.5,11.50,135,3.86,7.49,16.0,100,1.0,25.08,1.01,0.6
PPL,CYC012,PPL_CYL_012_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 12,Coarseware,Middle Neolithic,4.21,0.42,11.24,3.84,0.32,2.4,2.50,35.8,1.3,19.3,39.1,8.93,119,4.20,6.12,17.3,70,0.6,10.52,0.89,0.6
XP,CYC012,XPL_CYL_012_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 12,Coarseware,Middle Neolithic,4.21,0.42,11.24,3.84,0.32,2.4,2.50,35.8,1.3,19.3,39.1,8.93,119,4.20,6.12,17.3,70,0.6,10.52,0.89,0.6
PPL,CYC012,PPL_CYL_012_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 12,Coarseware,Middle Neolithic,4.21,0.42,11.24,3.84,0.32,2.4,2.50,35.8,1.3,19.3,39.1,8.93,119,4.20,6.12,17.3,70,0.6,10.52,0.89,0.6
XP,CYC012,XPL_CYL_012_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 12,Coarseware,Middle Neolithic,4.21,0.42,11.24,3.84,0.32,2.4,2.50,35.8,1.3,19.3,39.1,8.93,119,4.20,6.12,17.3,70,0.6,10.52,0.89,0.6
PPL,CYC013,PPL_CYL_013_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 13,Coarseware,Middle Neolithic,5.75,0.35,9.90,3.17,0.28,2.2,2.22,152.0,2.4,14.4,34.0,8.73,131,3.25,13.00,26.1,90,0.5,7.46,0.76,0.5
XP,CYC013,XPL_CYL_013_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 13,Coarseware,Middle Neolithic,5.75,0.35,9.90,3.17,0.28,2.2,2.22,152.0,2.4,14.4,34.0,8.73,131,3.25,13.00,26.1,90,0.5,7.46,0.76,0.5
PPL,CYC013,PPL_CYL_013_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 13,Coarseware,Middle Neolithic,5.75,0.35,9.90,3.17,0.28,2.2,2.22,152.0,2.4,14.4,34.0,8.73,131,3.25,13.00,26.1,90,0.5,7.46,0.76,0.5
XP,CYC013,XPL_CYL_013_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 13,Coarseware,Middle Neolithic,5.75,0.35,9.90,3.17,0.28,2.2,2.22,152.0,2.4,14.4,34.0,8.73,131,3.25,13.00,26.1,90,0.5,7.46,0.76,0.5
PPL,CYC014,PPL_CYL_014_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 14,Coarseware,Middle Neolithic,4.26,0.43,15.57,5.75,0.41,4.3,2.94,27.2,0.9,32.0,75.1,11.10,125,4.69,6.26,15.7,130,1.2,19.03,1.08,0.4
XP,CYC014,XPL_CYL_014_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 14,Coarseware,Middle Neolithic,4.26,0.43,15.57,5.75,0.41,4.3,2.94,27.2,0.9,32.0,75.1,11.10,125,4.69,6.26,15.7,130,1.2,19.03,1.08,0.4
PPL,CYC014,PPL_CYL_014_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 14,Coarseware,Middle Neolithic,4.26,0.43,15.57,5.75,0.41,4.3,2.94,27.2,0.9,32.0,75.1,11.10,125,4.69,6.26,15.7,130,1.2,19.03,1.08,0.4
XP,CYC014,XPL_CYL_014_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 14,Coarseware,Middle Neolithic,4.26,0.43,15.57,5.75,0.41,4.3,2.94,27.2,0.9,32.0,75.1,11.10,125,4.69,6.26,15.7,130,1.2,19.03,1.08,0.4
PPL,CYC015,PPL_CYL_015_097_,9.7,Cyclops Cave 8,Tuff Fabric ,Tuff Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 15,Red Monochrome,Middle Neolithic,2.97,1.52,4.73,6.48,0.35,7.2,2.65,11.5,1.1,52.6,108.5,31.10,71,10.39,4.40,10.4,150,1.4,9.65,1.27,0.8
XP,CYC015,XPL_CYL_015_097_,9.7,Cyclops Cave 8,Tuff Fabric ,Tuff Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 15,Red Monochrome,Middle Neolithic,2.97,1.52,4.73,6.48,0.35,7.2,2.65,11.5,1.1,52.6,108.5,31.10,71,10.39,4.40,10.4,150,1.4,9.65,1.27,0.8
PPL,CYC015,PPL_CYL_015_021_,2.1,Cyclops Cave 8,Tuff Fabric ,Tuff Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 15,Red Monochrome,Middle Neolithic,2.97,1.52,4.73,6.48,0.35,7.2,2.65,11.5,1.1,52.6,108.5,31.10,71,10.39,4.40,10.4,150,1.4,9.65,1.27,0.8
XP,CYC015,XPL_CYL_015_021_,2.1,Cyclops Cave 8,Tuff Fabric ,Tuff Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 15,Red Monochrome,Middle Neolithic,2.97,1.52,4.73,6.48,0.35,7.2,2.65,11.5,1.1,52.6,108.5,31.10,71,10.39,4.40,10.4,150,1.4,9.65,1.27,0.8
PPL,CYC016,PPL_CYL_015_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 16,Coarseware,Middle Neolithic,3.13,0.35,19.38,4.48,0.28,1.0,2.42,42.4,1.7,24.2,48.3,7.98,110,3.57,8.78,14.2,70,0.6,12.83,1.02,1.1
XP,CYC016,XPL_CYL_016_097_,9.7,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 16,Coarseware,Middle Neolithic,3.13,0.35,19.38,4.48,0.28,1.0,2.42,42.4,1.7,24.2,48.3,7.98,110,3.57,8.78,14.2,70,0.6,12.83,1.02,1.1
PPL,CYC016,PPL_CYL_016_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 16,Coarseware,Middle Neolithic,3.13,0.35,19.38,4.48,0.28,1.0,2.42,42.4,1.7,24.2,48.3,7.98,110,3.57,8.78,14.2,70,0.6,12.83,1.02,1.1
XP,CYC016,XPL_CYL_016_021_,2.1,Cyclops Cave 1,Limestone Fabric ,Limestone Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 16,Coarseware,Middle Neolithic,3.13,0.35,19.38,4.48,0.28,1.0,2.42,42.4,1.7,24.2,48.3,7.98,110,3.57,8.78,14.2,70,0.6,12.83,1.02,1.1
PPL,CYC017,PPL_CYL_017_097_,9.7,Cyclops Cave 2,Phyllite Fabric ,Phyllite Fabric ,"Cyclops Cave, Youra, Sporades Islands, Greece",39.37219395,24.15593147,Cyclops Cave Neolithic 17,Coarseware,Middle Neolithic,5.23,0.76,0.20,6.55,0.45,2.5,3.31,4.8,0.9,34.9,81.7,12.90,215,5.51,7.53,19.3,170,1.4,23.29,1.07,0.9
